bit_high,gold_high
7442.42,1299.7
6933.66,1299.9
6869.53,1403.2
7083.85,1404.2
7132.03,1389.2
7204.28,1392.1
6922.84,1391.1
6999.37,1391.3
8051.95,1390
8237.16,1392.1
8195.34,1405.3
8437.03,1417.9
8430.93,1420.4
8187.6,1422.1
8246.57,1413.5
8321.01,1413.8
8945.14,1414.2
9047.82,1414.7
9043.98,1412.4
9025.73,1405.3
9741.91,1406.4
9765.23,1419.1
9315.13,1423.6
9385.87,1418
9435.9,1422.9
9552.67,1433.1
9459.81,1424
9251.66,1442
9271.62,1453
9817.19,1460.1
9785.15,1449.3
9968.85,1450.6
9936.96,1447.9
9662.23,1441.4
9472.09,1460
9373.46,1445.5
9393.95,1439.6
9032.27,1435.9
8653.8,1428.1
8773.96,1439.7
8883,1436.5
8848.69,1445.8
8501.65,1426
8476.45,1428.9
8280.45,1447.8
8397.27,1461
8591.45,1455
8585.85,1432.2
8428.6,1426.6
8031.63,1416.2
7729.48,1421.7
7652.37,1416.3
7626.69,1421.7
7420.07,1429.7
7455.55,1433.4
7533.03,1424.8
7571.08,1428
7608.87,1423.7
7614.66,1427.9
7697.34,1435.9
7774.96,1420.5
7760.73,1424.2
7672.7,1406
7701.35,1419.2
7755.92,1419.6
7709.61,1433.1
7691.74,1429
7514.04,1431.4
6913.85,1430.6
6888.33,1428.4
6623,1353.9
6719.44,1352.4
6667.23,1452.8
6569.15,1451.5
6585.77,1452.9
6802.03,1424.8
6839.6,1420.9
6817.9,1410.1
6790.08,1414.8
6731.51,1410.7
6257.88,1425.4
6254.02,1432.9
6344.45,1434.6
6286.36,1445.1
6192.11,1439.4
6172.23,1436.2
6286.67,1441.3
6503.33,1453.7
6429.5,1463.1
6673.71,1456.3
6670.3,1434.2
6777.97,1429.6
6691.32,1425.9
6633.44,1419
6814.42,1431
6782.85,1428.1
6803.1,1344.9
6683.61,1338.6
6405.59,1425.7
6394.93,1411.4
6349.21,1408.3
6332.46,1398
6401.5,1407.4
6761.84,1408.3
7476.24,1407.3
7590.65,1399
7563.7,1400.1
7676.55,1309.7
7453.07,1391.9
7569.28,1372.1
7798.59,1372.3
8485.71,1368.5
8481.11,1279.5
8302.24,1354.3
8278.01,1351.3
8238.04,1350.4
8291.55,1344.8
8273.61,1345.6
8176.27,1337.4
7760.74,1342
7713.32,1328.7
7542.49,1321.9
7490.89,1326.8
7092.53,1330.5
7160.4,1327.6
7150.86,1346.2
6723.99,1345.1
6631.23,1358
6582.14,1362.8
6488.55,1357.3
6483.39,1382
6545.02,1379
6266.5,1378.7
6620.07,1371.6
6478.07,1293.87
6594.72,1376.4
6622.16,1364.8
6560.88,1357.6
6537.54,1378
6506.69,1359.4
6890.79,1358.7
6575.28,1364.2
6736.83,1360.4
6808.89,1354.5
6793.17,1366.8
6944.21,1362.3
7136.71,1353.9
7137.47,1359.7
7072.64,1346.9
7096.73,1355.4
7272.03,1354.6
7384.38,1347.7
7350.58,1354.9
7417.65,1351.7
7401.43,1346.5
6727.19,1355.5
6549.39,1354.2
6480.57,1356.9
6451.25,1356.2
6371.42,1365.9
6415.51,1359.3
6357.89,1362.5
6534.89,1382
6591.59,1372
6573.19,1372.3
6525.05,1364.5
6538.82,1374.7
6393.39,1362
6522.9,1350
6551.93,1348.3
6785.22,1351
6834.49,1353.3
6768.56,1350.1
6717.6,1357.6
6583.54,1361.3
6543.92,1360.7
6733.94,1374.1
6806.1,1382
6635.42,1369.4
6741.96,1367.3
6662.6,1388.3
6618.95,1382.6
6537.07,1380.3
6622.32,1395.1
6683.55,1399.2
6637.08,1396.7
6622.49,1406.6
6698.31,1404.1
6657,1419.3
6633.22,1418
6581.59,1405.9
6296.56,1411.2
6280.73,1344.59
6346.56,1342.07
7234.83,1397.1
6724.91,1393.7
6589.2,1380.9
6616.27,1385.7
6503.09,1381.9
6645.2,1364.8
6557.39,1358.9
6531.23,1361.7
6496.2,1358.6
6538.35,1364.1
6497.9,1372.5
6514,1359.9
6479,1350.8
6483.24,1347.5
6483.39,1358.1
6340.68,1361.4
6391.25,1357.8
6402.59,1347
6420.93,1330.4
6398.09,1326.4
6498.16,1331.7
6475.8,1341.6
6482.81,1345.5
6562.79,1346.3
6542.42,1340.7
6457.97,1342.6
6419.92,1333.7
6414.18,1322.4
6435.41,1323.2
6389.43,1323.6
6375.7,1325.9
5767.06,1317.1
5676.54,1313.7
5602.01,1313.5
5701.35,1305.4
5615.98,1289
4953.56,1288.5
4689.55,1291.2
4640.72,1287.7
4419.48,1286
4432,1282.3
4165.93,1296.7
4124.7,1293.9
3878.9,1228.03
4398.57,1289.9
4444.39,1314
4331.07,1322.8
4309.65,1320.8
4318.79,1318.4
4159.01,1317.7
4082.68,1327.7
3961.8,1320.4
3883.43,1317.1
3576.11,1315.2
3602.49,1318.8
3718.58,1328.5
3645.49,1326.8
3483.58,1348.2
3545.37,1342.8
3493.76,1341.5
3333.24,1343.9
3271.76,1351.9
3319.83,1365.6
3639.65,1370
3727.99,1355.6
3969.7,1353.1
4225.52,1343.2
4247.71,1348.5
4060.34,1339.1
4117.65,1268.6
4303.37,1269.02
4094.61,1344.8
3923.93,1333.3
3888.92,1329.7
4007.71,1332.1
4004.14,1338
3925.18,1329.9
3904.28,1340
3938.75,1336.2
3989.59,1312.7
3965.52,1308
3901.65,1305.7
3926.92,1302.9
4145.16,1305.2
4132.62,1306.1
4156.16,1306.1
4092.91,1305.8
4085.09,1312.1
3729.69,1326.9
