Date,Price,Open,High,Low
"Feb 26, 2018",1433.1,1433.1,1433.1,1433.1
"Feb 23, 2018",1429,1429,1429,1429
"Feb 22, 2018",1431.4,1431.4,1431.4,1431.4
"Feb 21, 2018",1430.6,1430.6,1430.6,1430.6
"Feb 20, 2018",1428.4,1428.4,1428.4,1428.4
"Feb 19, 2018",1347.8,1350.4,1353.9,1347.4
"Feb 18, 2018",1350.5,1349.7,1352.4,1349.7
"Feb 16, 2018",1452.8,1452.8,1452.8,1452.8
"Feb 15, 2018",1451.5,1451.5,1451.5,1451.5
"Feb 14, 2018",1452.9,1452.9,1452.9,1452.9
"Feb 13, 2018",1424.8,1424.8,1424.8,1424.8
"Feb 12, 2018",1420.9,1420.9,1420.9,1420.9
"Feb 09, 2018",1410.1,1410.1,1410.1,1410.1
"Feb 08, 2018",1414.8,1414.8,1414.8,1414.8
"Feb 07, 2018",1410.7,1410.7,1410.7,1410.7
"Feb 06, 2018",1425.4,1425.4,1425.4,1425.4
"Feb 05, 2018",1432.9,1432.9,1432.9,1432.9
"Feb 02, 2018",1434.6,1434.6,1434.6,1434.6
"Feb 01, 2018",1445.1,1445.1,1445.1,1445.1
"Jan 31, 2018",1439.4,1439.4,1439.4,1439.4
"Jan 30, 2018",1436.2,1436.2,1436.2,1436.2
"Jan 29, 2018",1441.3,1441.3,1441.3,1441.3
"Jan 26, 2018",1453.7,1453.7,1453.7,1453.7
"Jan 25, 2018",1463.1,1463.1,1463.1,1463.1
"Jan 24, 2018",1456.3,1456.3,1456.3,1456.3
"Jan 23, 2018",1434.2,1434.2,1434.2,1434.2
"Jan 22, 2018",1429.6,1429.6,1429.6,1429.6
"Jan 19, 2018",1425.9,1425.9,1425.9,1425.9
"Jan 18, 2018",1419,1419,1419,1419
"Jan 17, 2018",1431,1431,1431,1431
"Jan 16, 2018",1428.1,1428.1,1428.1,1428.1
"Jan 15, 2018",1341.8,1337.3,1344.9,1337
"Jan 14, 2018",1337.4,1337.7,1338.6,1336.4
