_id,time,high,low,open,close
5f5c943ba9115d187c3c8bc4,1491004800,1103.74,1067.47,1079.11,1086.12
5f5c943ba9115d187c3c8bc5,1491091200,1109.48,1074.21,1086.12,1097.4
5f5c943ba9115d187c3c8bc6,1491177600,1157.87,1095.55,1097.4,1147.56
5f5c943ba9115d187c3c8bc7,1491264000,1161.19,1122.15,1147.56,1141.77
5f5c943ba9115d187c3c8bc8,1491350400,1143.84,1110.06,1141.77,1129.87
5f5c943ba9115d187c3c8bc9,1491436800,1201.55,1130.51,1129.87,1188.7
5f5c943ba9115d187c3c8bca,1491523200,1201.23,1173.18,1188.7,1190.49
5f5c943ba9115d187c3c8bcb,1491609600,1198.22,1166.65,1190.49,1180.78
5f5c943ba9115d187c3c8bcc,1491696000,1215.1,1173.99,1180.78,1204.34
5f5c943ba9115d187c3c8bcd,1491782400,1214.87,1194.81,1204.34,1206.71
5f5c943ba9115d187c3c8bce,1491868800,1229.57,1195.76,1206.71,1220.74
5f5c943ba9115d187c3c8bcf,1491955200,1225.46,1207.36,1220.74,1212.53
5f5c943ba9115d187c3c8bd0,1492041600,1218.66,1150.29,1212.53,1176.2
5f5c943ba9115d187c3c8bd1,1492128000,1195.4,1162.16,1176.2,1177.33
5f5c943ba9115d187c3c8bd2,1492214400,1194.85,841.53,1177.33,1176.99
5f5c943ba9115d187c3c8bd3,1492300800,1187.97,1166.74,1176.99,1176.8
5f5c943ba9115d187c3c8bd4,1492387200,1202.97,1172.81,1176.8,1194.01
5f5c943ba9115d187c3c8bd5,1492473600,1213.88,1191.14,1194.01,1206.09
5f5c943ba9115d187c3c8bd6,1492560000,1218.21,1194.08,1206.09,1215.2
5f5c943ba9115d187c3c8bd7,1492646400,1246.64,1210.67,1215.2,1238.09
5f5c943ba9115d187c3c8bd8,1492732800,1256.97,1235.56,1238.09,1249.64
5f5c943ba9115d187c3c8bd9,1492819200,1256.97,1215.78,1249.64,1240.89
5f5c943ba9115d187c3c8bda,1492905600,1256.23,1223.06,1240.89,1249.14
5f5c943ba9115d187c3c8bdb,1492992000,1256.36,1234.86,1249.14,1248.18
5f5c943ba9115d187c3c8bdc,1493078400,1272.62,1244.21,1248.18,1264.31
5f5c943ba9115d187c3c8bdd,1493164800,1309.2,1263,1264.31,1286.63
5f5c943ba9115d187c3c8bde,1493251200,1346.79,1285.3,1286.63,1332.91
5f5c943ba9115d187c3c8bdf,1493337600,1356.15,1287.62,1332.91,1329.62
5f5c943ba9115d187c3c8be0,1493424000,1343.69,1314.15,1329.62,1336.28
5f5c943ba9115d187c3c8be1,1493510400,1358.94,1309.66,1336.28,1351.91
5f5c943ba9115d187c3c8be2,1493596800,1448.68,1342.78,1351.91,1415.81
5f5c943ba9115d187c3c8be3,1493683200,1471.14,1394.83,1415.81,1445.93
5f5c943ba9115d187c3c8be4,1493769600,1496.39,1424.05,1445.93,1485.55
5f5c943ba9115d187c3c8be5,1493856000,1609.84,1437.11,1485.55,1516.76
5f5c943ba9115d187c3c8be6,1493942400,1588.11,1485.01,1516.76,1507.77
5f5c943ba9115d187c3c8be7,1494028800,1560.42,1503.93,1507.77,1545.29
5f5c943ba9115d187c3c8be8,1494115200,1572.89,1495.18,1545.29,1554.45
5f5c943ba9115d187c3c8be9,1494201600,1667.67,1552.86,1554.45,1664.47
5f5c943ba9115d187c3c8bea,1494288000,1757.39,1619.97,1664.47,1697.5
5f5c943ba9115d187c3c8beb,1494374400,1766.18,1664.99,1697.5,1752.31
5f5c943ba9115d187c3c8bec,1494460800,1864.76,1741.54,1752.31,1819.29
5f5c943ba9115d187c3c8bed,1494547200,1822.51,1641.18,1819.29,1686.39
5f5c943ba9115d187c3c8bee,1494633600,1770.5,1594.59,1686.39,1763.74
5f5c943ba9115d187c3c8bef,1494720000,1802.75,1736.13,1763.74,1772.55
5f5c943ba9115d187c3c8bf0,1494806400,1776.65,1656.81,1772.55,1708.92
5f5c943ba9115d187c3c8bf1,1494892800,1752.55,1653.72,1708.92,1729.34
5f5c943ba9115d187c3c8bf2,1494979200,1842.83,1703.97,1729.34,1801.3
5f5c943ba9115d187c3c8bf3,1495065600,1980.49,1791.12,1801.3,1880.99
5f5c943ba9115d187c3c8bf4,1495152000,1969.7,1875.28,1880.99,1962
5f5c943ba9115d187c3c8bf5,1495238400,2048.45,1944.4,1962,2040.18
5f5c943ba9115d187c3c8bf6,1495324800,2094.94,1980.07,2040.18,2044.19
5f5c943ba9115d187c3c8bf7,1495411200,2264.76,1998.61,2044.19,2124.41
5f5c943ba9115d187c3c8bf8,1495497600,2286.3,2110.78,2124.41,2272.58
5f5c943ba9115d187c3c8bf9,1495584000,2496.98,2263.29,2272.58,2445.28
5f5c943ba9115d187c3c8bfa,1495670400,2781.76,2210.48,2445.28,2307.22
5f5c943ba9115d187c3c8bfb,1495756800,2616.52,2051.45,2306.96,2244.89
5f5c943ba9115d187c3c8bfc,1495843200,2322.37,1868.56,2244.89,2052.43
5f5c943ba9115d187c3c8bfd,1495929600,2300.52,2051.07,2052.43,2189.02
5f5c943ba9115d187c3c8bfe,1496016000,2337.35,2117.34,2189.02,2278.21
5f5c943ba9115d187c3c8bff,1496102400,2329.26,2147.1,2278.21,2192.55
5f5c943ba9115d187c3c8c00,1496188800,2330.62,2168.37,2192.55,2303.34
5f5c943ba9115d187c3c8c01,1496275200,2460.84,2303.34,2303.34,2412.65
5f5c943ba9115d187c3c8c02,1496361600,2493.97,2385.59,2412.65,2492.6
5f5c943ba9115d187c3c8c03,1496448000,2582.77,2449.95,2492.6,2545.43
5f5c943ba9115d187c3c8c04,1496534400,2559.79,2478.18,2545.43,2524.06
5f5c943ba9115d187c3c8c05,1496620800,2705.38,2523.92,2524.06,2704.96
5f5c943ba9115d187c3c8c06,1496707200,2931.24,2699.68,2704.96,2870.5
5f5c943ba9115d187c3c8c07,1496793600,2880.95,2626.56,2870.5,2691.51
5f5c943ba9115d187c3c8c08,1496880000,2808.41,2623.61,2691.51,2798.78
5f5c943ba9115d187c3c8c09,1496966400,2852.07,2786.07,2798.78,2811.43
5f5c943ba9115d187c3c8c0a,1497052800,2914.19,2807.36,2811.43,2900.25
